thiNksmaRt Library Books Catalog,,,,,,,
CIVILS,,,,,,,
TSBN,ISBN,Card No.,Book Title,Author,Publication,Edition/Part,Copies
CSE001,9352601653,1,Indian Economy,Ramesh Singh,,8,
CSE002,9780330505543,2,India After Gandhi,Ramachandra Guha,,,
CSE003,9780143420934,3,Land of the Seven Rivers,Sanjeev Sanyal,,,
CSE004,9789332573932,4,Internal Security,M.Karthikeyan,,,4
CSE005,9780140257618,5,Ecology and Equity,Madhav Gadgil,,,
CSE006,9780195687859,6,India's Ancient Past,R.S Sharma,,,
CSE007,9788193473405,7,Environment and Ecology,R.Rajagopalan,,,
CSE008,9789339204785,8,Governance in India,M.Laxmikanth,,2,
CSE009,9788189005627,9,Disaster Management,Mukesh Kapoor,,,
CSE010,9788131606278,10,Social Problems In India,Ram Ahuja,,P.I,
CSE011,9788120302167,11,Ethics,william K.Frankena,,2,
CSE012,9789332535749,12,Modern India,Sumit sarkar,,,
CSE013,9780415408684,13,Indian Politics and Society Since Independence,Bidyut Chakrabarty,,,
CSE014,9788125036876,14,History of The world,Arjun Dev,,,
CSE015,9789384170011,15,Disaster Management,S.Mukerjee,,,
CSE016,9788125032267,16,History of medieval India,Sasthish Chandra,OBS,,
CSE017,9788131606278,17,Social Problems In India,Ram Ahuja,,P.II,
CSE018,9788131606278,18,Social Problems In India,Ram Ahuja,,P.III,
CSE019,9789382563808,19,Emotional Intelligence,Daniel Goleman,Bloomsberry,,
CSE020,9788132113676,20,Challenge and Strategy,Rajiv Sikri,Sage,,
CSE021,9788192516738,21,Governance ,Ganesh Subramanian,Kavin Mukhil,,
CSE022,9780140107814,22,India's Struggle for Independence,Bipan Chandra,Penguin,,
CSE023,9788131606278,23,Social Problems In India,Ram Ahuja,,,
CSE024,9788131606278,24,Social Problems In India,Ram Ahuja,,P.IV,
CSE025,9788123710310,25,Indian Society,S.C.Dube,NBT,,
CSE026,9789352664689,26,Ethics Integrity and Aptitude,R.K.Gupta,Prabhat,,
CSE027,9788125004226,27,Social Change in Modern India,M.N.Srinivas,OBS,,
CSE028,9788123706351,28,Our Judiciary,B.R.Agarwala,NBT,,
CSE029,9788123751887,29,Panchayit Raj In India,M.Aslam,NBT,,
CSE030,812374644,30,The National Culture of India,S.Abid Hussain,NBT,,
CSE031,9780143104094,31,India After Independence,Bipan Chandra,Penguin,P.I,
CSE032,9780143104094,32,India After Independence,Bipan Chandra,Penguin,P.II,
